NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tom Aaron,Record: 5-3-0,,--,155 lbs.,--,,"Jul 13, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny Abbadi,Record: 4-6-0,The Assassin,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0
Nariman Abbasov,Record: 28-4-0,Bayraktar,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3.00,20%,5.67,46%,0.00,0%,66%,0.0
Darion Abbey,Record: 9-5-0,,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",8.44,50%,14.06,28%,0.00,0%,0%,0.0
David Abbott,Record: 10-15-0,Tank,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0
Hamdy Abdelwahab,Record: 7-1-0 (1 NC),The Hammer,"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993",4.27,55%,3.67,51%,3.25,65%,100%,0.0
Mansur Abdul-Malik,Record: 9-0-1,,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",4.18,48%,3.46,51%,0.94,50%,83%,0.5
Shamil Abdurakhimov,Record: 20-8-0,Abrek,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1
Hiroyuki Abe,Record: 8-15-3 (1 NC),Abe Ani,"5' 6""",145 lbs.,--,Orthodox,"Feb 09, 1970",1.71,36%,3.11,63%,0.00,0%,33%,0.0
Daichi Abe,Record: 6-2-0,,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0
Papy Abedi,Record: 10-4-0,Makambo,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo Abreu,Record: 5-1-0,Demente,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
Klidson Abreu,Record: 15-4-0 (1 NC),White Bear,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0
Cyborg Abreu,Record: 0-0-0,,--,--,--,,"Dec 20, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0
